全国地方公共団体コード,町字id,町字区分コード,都道府県名,都道府県名_カナ,都道府県名_英字,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字,大字・町名,大字・町名_カナ,大字・町名_英字,丁目名,丁目名_カナ,丁目名_数字,小字名,小字名_カナ,小字名_英字,住居表示フラグ,住居表示方式コード,大字・町_通称フラグ,小字_通称フラグ,大字・町外字フラグ,小字外字フラグ,状態フラグ,起番フラグ,効力発生日,廃止日,原典資料コード,郵便番号,備考
182044,0001112,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１５号,15ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001114,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１６号,16ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001116,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１７号,17ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001118,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１８号,18ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001120,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１９号,19ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
182044,0001101,3,福井県,フクイケン,Fukui,,,,小浜市,オバマシ,Obama-shi,,,,相生,アイオイ,Aioi,,,,１号,1ゴウ,,0,0,0,0,0,0,0,1,1947-04-17,,0 ,,
141526,0028001,2,神奈川県,カナガワケン,Kanagawa,,,,相模原市,サガミハラシ,Sagamihara-shi,中央区,チュウオウク,Chuo-ku,相生,アイオイ,Aioi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
192015,0037001,2,山梨県,ヤマナシケン,Yamanashi,,,,甲府市,コウフシ,Kofu-shi,,,,相生,アイオイ,Aioi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
232033,0001001,2,愛知県,アイチケン,Aichi,,,,一宮市,イチノミヤシ,Ichinomiya-shi,,,,相生,アイオイ,Aioi,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
282081,0013001,2,兵庫県,ヒョウゴケン,Hyogo,,,,相生市,アイオイシ,Aioi-shi,,,,相生,アイオイ,,一丁目,１チョウメ,1,,,,1,1,0,0,0,0,0,1,1947-04-17,,0 ,,
