全国地方公共団体コード,都道府県名,都道府県名_カナ,都道府県名_英字,効力発生日,廃止日,備考,郡名,郡名_カナ,郡名_英字,市区町村名,市区町村名_カナ,市区町村名_英字,政令市区名,政令市区名_カナ,政令市区名_英字
014311,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,樺戸郡,カバトグン,Kabato-gun,浦臼町,ウラウスチョウ,Urausu-cho,,,
014320,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,樺戸郡,カバトグン,Kabato-gun,新十津川町,シントツカワチョウ,Shintotsukawa-cho,,,
014338,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,雨竜郡,ウリュウグン,Uryu-gun,妹背牛町,モセウシチョウ,Moseushi-cho,,,
014346,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,雨竜郡,ウリュウグン,Uryu-gun,秩父別町,チップベツチョウ,Chippubetsu-cho,,,
014362,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,雨竜郡,ウリュウグン,Uryu-gun,雨竜町,ウリュウチョウ,Uryu-cho,,,
014371,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,雨竜郡,ウリュウグン,Uryu-gun,北竜町,ホクリュウチョウ,Hokuryu-cho,,,
014389,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,雨竜郡,ウリュウグン,Uryu-gun,沼田町,ヌマタチョウ,Numata-cho,,,
014524,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,鷹栖町,タカスチョウ,Takasu-cho,,,
014532,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,東神楽町,ヒガシカグラチョウ,Higashikagura-cho,,,
014541,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,当麻町,トウマチョウ,Toma-cho,,,
014559,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,比布町,ピップチョウ,Pippu-cho,,,
014567,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,愛別町,アイベツチョウ,Aibetsu-cho,,,
014575,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,上川町,カミカワチョウ,Kamikawa-cho,,,
014583,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,東川町,ヒガシカワチョウ,Higashikawa-cho,,,
014591,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,美瑛町,ビエイチョウ,Biei-cho,,,
014605,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,空知郡,ソラチグン,Sorachi-gun,上富良野町,カミフラノチョウ,Kamifurano-cho,,,
014613,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,空知郡,ソラチグン,Sorachi-gun,中富良野町,ナカフラノチョウ,Nakafurano-cho,,,
014621,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,空知郡,ソラチグン,Sorachi-gun,南富良野町,ミナミフラノチョウ,Minamifurano-cho,,,
014630,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,勇払郡,ユウフツグン,Yufutsu-gun,占冠村,シムカップムラ,Shimukappu-mura,,,
014648,北海道,ホッカイドウ,Hokkaido,1947-04-17,,,上川郡,カミカワグン,Kamikawa-gun,和寒町,ワッサムチョウ,Wassamu-cho,,,
